股票代码,股票名称,综合诊断评分,打败百分比(%),投资评级,短期趋势,中期趋势,长期趋势,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分
601066,中信建投,5.6,77,中性,短期行情可能回暖，可适量买进股票，作短线反弹行情。,回落整理中且下跌有加速趋势。,已有26家主力机构披露2026-06-30报告期持股数据，持仓量总计29.72亿股，占流通A股45.75%,4.2,5.5,7.3,3.7,7.2
601633,长城汽车,5.6,77,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有58家主力机构披露2026-06-30报告期持股数据，持仓量总计54.76亿股，占流通A股88.04%,5.1,5.5,4.7,5.2,6.8
601669,中国电建,5.6,77,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有9家主力机构披露2026-06-30报告期持股数据，持仓量总计2682.31万股，占流通A股0.21%,5.2,4.8,5.5,7.2,6.0
603288,海天味业（603288）,5.6,77,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有81家主力机构披露2026-06-30报告期持股数据，持仓量总计7891.89万股，占流通A股1.42%,5.5,7.1,5.5,2.8,5.8
605117,德业股份（605117）,5.6,78,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,有加速下跌的趋势。,已有232家主力机构披露2026-06-30报告期持股数据，持仓量总计6614.92万股，占流通A股5.20%,4.3,5.4,8.4,0.0,7.7
688271,联影医疗（688271）,5.6,78,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有69家主力机构披露2026-06-30报告期持股数据，持仓量总计5.10亿股，占流通A股61.84%,4.4,7.0,7.4,0.0,7.0
000617,中油资本,5.5,69,中性,短期的强势行情可能结束，投资者及时短线卖出、离场观望为宜。,正处于反弹阶段。,已有336家主力机构披露2025-12-31报告期持股数据，持仓量总计105.95亿股，占流通A股83.81%,6.1,5.0,5.5,3.5,5.8
000768,中航西飞,5.5,69,中性,短期行情可能回暖，可适量买进股票，作短线反弹行情。,正处于反弹阶段。,已有35家主力机构披露2026-06-30报告期持股数据，持仓量总计16.12亿股，占流通A股58.06%,5.8,4.3,5.7,6.2,5.9
000938,紫光股份,5.5,70,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,有加速上涨趋势。,已有63家主力机构披露2026-06-30报告期持股数据，持仓量总计9556.47万股，占流通A股3.34%,6.2,2.7,5.8,3.5,7.6
002304,洋河股份,5.5,70,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有30家主力机构披露2026-06-30报告期持股数据，持仓量总计1.05亿股，占流通A股6.97%,6.0,5.8,5.5,3.5,5.5
002532,天山铝业,5.5,70,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有22家主力机构披露2026-06-30报告期持股数据，持仓量总计15.56亿股，占流通A股37.90%,4.2,5.0,6,7.3,6.6
